UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,class
0.42047545,10.103064,7.1547008,5.9668674,3.742834,7.0068865,5.167193,3.8605938,7.926601,6.0807333,1
-0.093928054,9.3247385,9.622601,5.4928775,2.2850113,6.465865,4.903092,4.3457212,7.377935,5.8016334,0
0.17648467,9.806859,6.1087995,5.803297,2.7545102,9.054766,4.404647,2.6657197,7.1488957,4.507649,4
0.4319512,10.350774,6.44869,5.9318385,3.0181148,9.054776,3.6611338,3.7041807,8.390667,7.25119,5
-0.42603704,9.455885,9.44924,5.475246,2.3848891,7.0053167,4.336991,3.9988413,7.245426,5.4707365,0
0.23202297,10.051483,7.19252,5.364676,2.5785496,9.3489,3.503093,3.5128324,7.92147,6.7415056,5
0.37643322,10.189363,6.701118,5.4650826,3.0321536,8.898842,3.650019,3.6103268,8.301942,7.092665,5
0.2536941,10.58005,6.957328,5.748777,3.425455,8.74832,4.079543,3.908765,8.21571,6.6263213,5
-0.20620586,9.4819565,8.936796,5.2711945,2.4062684,6.8872395,4.6689506,4.327226,7.606607,5.7337637,0
-0.30837187,10.029407,9.650056,5.075352,2.5288117,8.516333,3.7694502,4.207225,7.57202,6.7266035,3
0.27665833,9.290451,5.3735166,2.8551815,3.1087573,6.0028276,4.8735776,3.162709,8.689876,5.6101527,2
0.51152045,9.850335,8.98276,5.3134203,2.4913106,7.5594387,4.7995524,4.4665475,7.1588817,5.8470187,0
-0.20402512,10.092815,8.754021,5.030174,2.5670228,8.859364,3.6987047,3.9122508,7.651676,6.738328,3
0.051608264,9.841597,8.843526,4.596209,2.8219385,8.995169,3.6182837,3.9160454,7.824082,6.589348,3
0.14200242,8.853269,10.214775,5.5139465,2.0250392,6.4197087,4.9588504,4.3916707,7.0742035,5.4127235,0
-0.21991341,10.02328,8.593328,5.0854087,2.6183472,8.824587,3.6591964,3.884066,7.7158604,6.610961,3
-0.085840784,9.36651,9.279567,5.892884,2.470861,6.8149533,4.799507,4.2527127,7.27871,5.776061,1
0.592325,9.593842,5.6453815,3.761271,3.5603766,6.656128,5.135907,3.2277675,9.089751,5.8947983,2
-0.18405783,9.353755,9.181379,5.3783455,2.5148783,6.8474994,4.572467,3.996594,7.5137577,5.9256444,0
0.4964427,10.54847,7.3962045,5.4543896,3.762412,9.217428,4.0819006,3.814922,8.09206,6.377099,5
-0.2764904,10.496705,8.921275,4.9457674,2.778642,8.910456,3.6972258,3.7803001,7.6423125,7.4478974,3
-0.29819018,10.3952,9.483524,4.81206,2.581134,9.222233,3.4906542,4.054154,7.576534,7.181513,3
-0.027703494,9.639486,5.6162486,6.7328186,2.243532,9.202041,4.751598,2.7574873,7.4403276,4.3632293,4
0.16084085,9.871542,8.390186,5.3531165,2.7412755,7.5712504,4.684725,4.1619244,7.5588994,5.988606,1
0.1311899,9.8494625,8.347258,5.3765635,2.8544555,7.5228724,4.51091,4.114162,7.5319667,6.1208706,3
0.31299812,10.047642,7.6461697,5.8296175,3.5677335,7.105884,4.8986263,3.9448335,7.679809,5.880263,1
-0.28591427,10.2997,9.473757,4.847324,2.5773413,9.257963,3.4686408,4.1192803,7.5986075,6.9939823,3
-0.6188307,9.002891,9.824972,5.6558785,2.044182,5.9728775,4.996007,4.2394686,7.395649,5.3166904,0
0.06657648,10.056768,6.4223213,5.7500167,2.7529898,9.260367,4.377759,3.2576892,7.1068244,4.8069005,4
-0.4111537,10.026722,9.125182,4.938377,2.0861595,9.152502,3.4607353,3.9812312,7.3518577,6.511529,3
-0.06490064,9.873744,6.2460876,6.132208,2.5651648,8.9406805,4.4800487,2.6997402,7.0318985,4.494268,4
0.43522614,10.244243,7.9060597,6.502233,4.044175,6.4496574,4.7875767,4.0515194,7.7923822,5.8554955,1
0.0960458,9.659448,5.9166594,4.152432,3.3256748,6.433117,5.1208177,3.2853355,8.870581,6.2178063,2
0.4022201,10.004288,6.3726525,5.546585,3.0942113,9.022395,4.261507,3.14494,6.9278836,4.8658156,1
0.6003334,9.688081,5.8493643,3.8132205,3.4113064,6.2560177,5.4997296,3.5515103,9.322293,6.1794167,2
0.22618367,10.044037,7.7011423,5.155308,3.038733,8.82315,3.7748678,3.5963333,8.089065,6.834353,3
0.27144548,9.239773,5.4304976,2.8268943,3.0556414,5.979557,4.790989,3.1388843,8.620175,5.552976,2
-0.38787344,10.461682,9.823396,4.820557,2.6468377,9.287571,3.4578726,4.1650443,7.635752,7.3049006,3
0.118941166,10.116111,6.533286,5.8075376,2.791821,9.212433,4.3634405,3.2426577,7.00553,5.0126686,4
0.30306235,10.273458,7.597928,6.066394,3.7158353,6.623983,4.5148096,3.9965944,8.019259,6.1142163,1
-0.2760812,10.2227,9.454792,4.9434304,2.5526152,9.210107,3.4688983,4.14748,7.622962,6.9424458,3
0.3551166,10.207979,7.5988493,6.470957,3.6485405,6.446418,4.628218,4.0061746,7.645813,5.744877,1
-0.5185277,9.473803,9.557882,5.5506883,2.527217,6.651624,4.540426,4.294267,7.361459,5.484874,0
0.48684087,10.129397,7.643302,6.555991,3.929578,6.3218493,4.638311,3.8562896,7.8406878,5.8544664,1
-0.119810805,9.606665,8.884837,5.3477316,2.464655,7.2663794,4.6861634,4.1593833,7.5387034,5.9511666,0
-0.03656987,8.9026575,10.100091,5.626108,2.0077503,6.3616343,4.996817,4.3557773,7.1422853,5.4356923,0
-0.58084184,9.024684,9.867267,5.851304,2.2642782,6.0345216,4.9512773,4.3274264,7.3729916,5.3722763,0
0.08809253,9.952875,6.0313725,5.8381658,2.8516383,9.056906,4.474645,2.6280055,7.0877657,4.4476147,4
0.5122581,10.072241,6.6951766,5.697815,3.4184906,8.673969,3.9439645,3.6097043,8.470271,7.0938296,2
-0.08021737,9.120682,9.998152,5.523612,2.099923,6.3965874,4.863467,4.36619,7.2289367,5.6204157,0
-0.13335772,10.214154,7.4511967,5.6398134,4.041659,6.606118,4.751121,4.259906,7.5905037,5.8721986,1
0.19907509,9.251262,6.076717,6.182819,2.3025901,8.802572,4.192207,2.9940586,7.694292,4.468603,4
0.48453555,10.19904,7.0763206,5.49296,3.9968812,6.765211,5.3272333,3.8682373,8.102226,5.9248047,1
-0.2026064,10.09763,6.3201213,5.918853,2.8146036,9.036842,4.4351735,2.8893254,7.2016993,4.533083,4
0.2097206,10.157694,7.68403,6.4818397,3.9286442,6.4272,4.736567,3.9715402,7.690506,5.95185,1
0.44406545,10.199087,6.5077214,5.7878757,3.0061533,9.012876,3.6727111,3.6512764,8.276045,7.1792517,5
0.27309278,9.258673,5.3622155,2.7812402,3.056454,5.9536915,4.83283,3.135562,8.653277,5.571367,2
0.14784178,10.57613,7.2584677,6.050353,4.370371,6.6085353,4.3237658,4.241712,7.790529,5.871588,1
