UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,class
13.895797,9.238594,4.3216386,1.4800286,7.405052,5.817966,7.418059,6.551212,5.0583997,4.0726275,0
0.05671104,7.8903484,5.245512,2.5455105,6.075802,7.7504096,8.704269,4.2022886,7.9688244,4.6924934,1
0.102189794,8.265035,3.2650373,2.807351,7.0812106,7.492075,8.833603,5.5536776,7.8592525,5.033222,2
-0.65680605,9.248263,2.7131362,-1.0350356,7.005628,4.709436,8.312943,8.278624,7.5046105,4.9928303,3
1.1380808,9.531851,12.6495905,5.1931586,9.562156,5.525768,7.735386,8.562032,6.4264126,4.2880363,4
-0.020820506,9.031669,1.6171951,-0.9559756,10.0829,5.027074,7.4422345,8.276812,6.582124,3.5764701,5
1.4008634,-0.6678981,7.404128,1.1960428,6.542294,9.4925375,7.59517,8.061457,7.043014,5.701849,6
0.069797285,12.591799,3.3197646,1.5127374,0.61341524,7.405749,6.2456574,6.2720795,5.5651526,5.3400044,7
-0.022422768,8.233969,3.4778569,1.611812,6.4622173,6.8613443,8.872719,5.8587995,7.5303936,4.578739,8
0.09610917,9.036314,1.7972498,-0.7265084,9.832832,4.86284,7.7547026,7.957327,6.794094,3.7850924,9
14.029604,9.012811,4.310231,1.2549183,7.384546,5.5892844,7.296186,6.5030913,5.1266837,4.0890403,0
0.08389938,8.618682,5.4099274,2.9438038,6.6204896,7.846579,8.343526,3.5711093,7.5264845,4.8246903,1
1.5321243,8.379933,-1.3017206,6.099156,10.589282,11.396463,6.7322044,7.078842,6.3499656,5.718668,2
-0.74585646,9.498658,2.5115125,-0.7989925,6.233259,5.043386,8.778596,8.526043,7.8533773,4.946597,3
1.1574345,9.618122,12.485528,5.1451592,9.234864,5.5400805,7.415269,8.635722,6.2716656,4.2669487,4
-1.2993567,6.9310904,2.4345312,-1.6305456,10.869056,3.3548062,2.7500088,7.3402014,5.952431,3.4612854,5
1.2748023,-1.1579627,7.5014815,1.1655612,6.6981044,9.546815,7.6102076,8.153386,7.4144487,5.702736,6
-0.19447333,12.491157,3.0593503,1.3540816,0.28758147,7.362454,5.82783,6.578859,5.144906,5.8030124,7
-0.13162775,8.278431,3.969773,1.5191785,5.8519874,6.963033,8.801432,5.7317033,7.5243387,4.6102724,8
0.053080276,9.012214,1.6443105,-1.1348034,9.898358,4.976156,7.312504,8.5597725,6.653738,3.699054,9
13.664468,9.028447,4.162533,1.2653675,7.2519317,4.937628,7.003364,6.0921063,5.1131067,4.0917444,0
0.04676516,8.623095,5.4299026,2.907146,6.5671625,7.815679,8.331408,3.471997,7.477617,4.784443,1
1.36049,8.599795,-1.3580204,6.022802,10.601267,11.19795,6.759884,6.931754,6.3759665,5.610922,2
-0.7090664,9.612684,2.3549292,-0.66484207,6.012018,5.1966352,8.90456,8.646107,7.8881116,4.9094367,3
1.0500354,9.579205,12.491296,5.0984726,9.426245,5.68017,7.752091,8.383817,6.4291306,4.311265,4
-1.3520103,6.776353,2.587591,-1.5850952,11.015898,3.1090903,2.5716243,7.492369,5.9422393,3.385288,5
