UMAP_1,UMAP_2,class,image_pixels
17.282698,7.9541802,0,"[0.0, 0.0, 5.0, 13.0, 9.0, 1.0, 0.0, 0.0, 0.0, 0.0, 13.0, 15.0, 10.0, 15.0, 5.0, 0.0, 0.0, 3.0, 15.0, 2.0, 0.0, 11.0, 8.0, 0.0, 0.0, 4.0, 12.0, 0.0, 0.0, 8.0, 8.0, 0.0, 0.0, 5.0, 8.0, 0.0, 0.0, 9.0, 8.0, 0.0, 0.0, 4.0, 11.0, 0.0, 1.0, 12.0, 7.0, 0.0, 0.0, 2.0, 14.0, 5.0, 10.0, 12.0, 0.0, 0.0, 0.0, 0.0, 6.0, 13.0, 10.0, 0.0, 0.0, 0.0]"
-6.2978354,9.09358,1,"[0.0, 0.0, 0.0, 12.0, 13.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.0, 16.0, 9.0, 0.0, 0.0, 0.0, 0.0, 3.0, 15.0, 16.0, 6.0, 0.0, 0.0, 0.0, 7.0, 15.0, 16.0, 16.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 16.0, 16.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 16.0, 16.0, 6.0, 0.0, 0.0, 0.0, 0.0, 1.0, 16.0, 16.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.0, 16.0, 10.0, 0.0, 0.0]"
7.042063,4.731498,2,"[0.0, 0.0, 0.0, 4.0, 15.0, 12.0, 0.0, 0.0, 0.0, 0.0, 3.0, 16.0, 15.0, 14.0, 0.0, 0.0, 0.0, 0.0, 8.0, 13.0, 8.0, 16.0, 0.0, 0.0, 0.0, 0.0, 1.0, 6.0, 15.0, 11.0, 0.0, 0.0, 0.0, 1.0, 8.0, 13.0, 15.0, 1.0, 0.0, 0.0, 0.0, 9.0, 16.0, 16.0, 5.0, 0.0, 0.0, 0.0, 0.0, 3.0, 13.0, 16.0, 16.0, 11.0, 5.0, 0.0, 0.0, 0.0, 0.0, 3.0, 11.0, 16.0, 9.0, 0.0]"
0.67722714,7.306637,3,"[0.0, 0.0, 7.0, 15.0, 13.0, 1.0, 0.0, 0.0, 0.0, 8.0, 13.0, 6.0, 15.0, 4.0, 0.0, 0.0, 0.0, 2.0, 1.0, 13.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 15.0, 11.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 12.0, 12.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 10.0, 8.0, 0.0, 0.0, 0.0, 8.0, 4.0, 5.0, 14.0, 9.0, 0.0, 0.0, 0.0, 7.0, 13.0, 13.0, 9.0, 0.0, 0.0]"
4.2059126,17.032461,4,"[0.0, 0.0, 0.0, 1.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 13.0, 6.0, 2.0, 2.0, 0.0, 0.0, 0.0, 7.0, 15.0, 0.0, 9.0, 8.0, 0.0, 0.0, 5.0, 16.0, 10.0, 0.0, 16.0, 6.0, 0.0, 0.0, 4.0, 15.0, 16.0, 13.0, 16.0, 1.0, 0.0, 0.0, 0.0, 0.0, 3.0, 15.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 16.0, 4.0, 0.0, 0.0]"
-1.5775188,3.6807933,5,"[0.0, 0.0, 12.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.0, 16.0, 16.0, 14.0, 0.0, 0.0, 0.0, 0.0, 13.0, 16.0, 15.0, 10.0, 1.0, 0.0, 0.0, 0.0, 11.0, 16.0, 16.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 7.0, 16.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 16.0, 9.0, 0.0, 0.0, 0.0, 5.0, 4.0, 12.0, 16.0, 4.0, 0.0, 0.0, 0.0, 9.0, 16.0, 16.0, 10.0, 0.0, 0.0]"
7.8738527,-7.118172,6,"[0.0, 0.0, 0.0, 12.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 16.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 16.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.0, 12.0, 7.0, 2.0, 0.0, 0.0, 0.0, 0.0, 13.0, 16.0, 13.0, 16.0, 3.0, 0.0, 0.0, 0.0, 7.0, 16.0, 11.0, 15.0, 8.0, 0.0, 0.0, 0.0, 1.0, 9.0, 15.0, 11.0, 3.0, 0.0]"
-3.5058768,15.376555,7,"[0.0, 0.0, 7.0, 8.0, 13.0, 16.0, 15.0, 1.0, 0.0, 0.0, 7.0, 7.0, 4.0, 11.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 13.0, 1.0, 0.0, 0.0, 4.0, 8.0, 8.0, 15.0, 15.0, 6.0, 0.0, 0.0, 2.0, 11.0, 15.0, 15.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 15.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 5.0, 0.0, 0.0, 0.0, 0.0]"
-2.9896662,8.55498,8,"[0.0, 0.0, 9.0, 14.0, 8.0, 1.0, 0.0, 0.0, 0.0, 0.0, 12.0, 14.0, 14.0, 12.0, 0.0, 0.0, 0.0, 0.0, 9.0, 10.0, 0.0, 15.0, 4.0, 0.0, 0.0, 0.0, 3.0, 16.0, 12.0, 14.0, 2.0, 0.0, 0.0, 0.0, 4.0, 16.0, 16.0, 2.0, 0.0, 0.0, 0.0, 3.0, 16.0, 8.0, 10.0, 13.0, 2.0, 0.0, 0.0, 1.0, 15.0, 1.0, 3.0, 16.0, 8.0, 0.0, 0.0, 0.0, 11.0, 16.0, 15.0, 11.0, 1.0, 0.0]"
-0.8977866,4.4024234,9,"[0.0, 0.0, 11.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 16.0, 16.0, 16.0, 13.0, 0.0, 0.0, 0.0, 3.0, 16.0, 12.0, 10.0, 14.0, 0.0, 0.0, 0.0, 1.0, 16.0, 1.0, 12.0, 15.0, 0.0, 0.0, 0.0, 0.0, 13.0, 16.0, 9.0, 15.0, 2.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 9.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 15.0, 4.0, 0.0, 0.0, 0.0, 9.0, 12.0, 13.0, 3.0, 0.0, 0.0]"
